gender,income,credit_score,loan_amount,employment_years,score,approved
M,48061.0,721,364841.0,29,0.7416,1
F,20000.0,637,275546.0,33,0.5214,0
M,51756.0,565,330586.0,4,0.5256,0
M,78269.0,654,297412.0,32,0.7354,1
M,70753.0,659,283313.0,8,0.6126,1
F,68564.0,516,166220.0,16,0.4291,0
M,54400.0,620,214091.0,11,0.5546,0
M,34419.0,511,157938.0,23,0.4913,0
M,70306.0,502,178089.0,11,0.4181,0
F,43314.0,452,206817.0,14,0.4727,0
M,103682.0,728,271357.0,15,0.704,1
M,71410.0,586,242332.0,22,0.5893,0
M,48387.0,620,183817.0,17,0.641,1
M,47772.0,735,205554.0,21,0.7074,1
F,58141.0,795,243346.0,30,0.87,1
M,55210.0,448,266739.0,14,0.4188,0
F,82337.0,841,48100.0,20,0.6897,1
F,63728.0,781,92261.0,7,0.687,1
F,45367.0,625,310731.0,39,0.5879,0
M,97809.0,328,193913.0,35,0.5281,0
F,60986.0,558,157592.0,37,0.6007,1
M,75377.0,374,173650.0,5,0.4905,0
F,47835.0,797,173629.0,16,0.5941,0
F,67262.0,715,255794.0,39,0.8304,1
F,66222.0,639,89198.0,35,0.6496,1
F,22207.0,607,202478.0,27,0.5924,0
F,100306.0,540,224612.0,22,0.5611,0
F,85813.0,552,239627.0,30,0.5547,0
F,52056.0,519,222286.0,10,0.4621,0
F,37955.0,696,251591.0,19,0.4887,0
M,66951.0,635,142730.0,31,0.5969,0
M,61734.0,328,105820.0,16,0.4509,0
F,67113.0,793,445700.0,37,0.7235,1
F,63832.0,801,169874.0,5,0.523,0
F,70125.0,453,181555.0,0,0.3417,0
M,88946.0,530,267784.0,36,0.7033,1
F,71362.0,401,359609.0,3,0.3109,0
M,39007.0,476,145547.0,30,0.399,0
M,87251.0,531,100118.0,10,0.5352,0
M,92812.0,311,75785.0,16,0.4701,0
M,123041.0,485,359311.0,6,0.5904,0
M,37530.0,565,96189.0,34,0.6598,1
F,64858.0,434,197244.0,1,0.3496,0
F,20000.0,330,102272.0,39,0.5141,0
F,71063.0,755,55164.0,36,0.7246,1
F,49036.0,558,170762.0,36,0.5705,0
F,98469.0,403,106221.0,9,0.4153,0
M,44508.0,730,130837.0,11,0.6083,1
F,26216.0,681,400611.0,16,0.5453,0
F,50575.0,768,242490.0,25,0.7224,1
M,20490.0,812,293147.0,4,0.5513,0
F,75022.0,506,282466.0,4,0.3901,0
M,20000.0,746,189914.0,37,0.7109,1
F,60569.0,388,156028.0,26,0.4272,0
M,20000.0,494,224893.0,4,0.3346,0
F,53594.0,713,216845.0,7,0.595,0
F,92868.0,421,143119.0,30,0.5956,0
M,67213.0,761,212985.0,32,0.685,1
M,42730.0,415,129367.0,20,0.4514,0
M,59376.0,495,182854.0,34,0.6291,1
M,60360.0,335,166472.0,20,0.5337,0
M,69453.0,366,73113.0,14,0.4364,0
M,32663.0,580,10000.0,35,0.6583,1
M,71851.0,778,106094.0,1,0.602,1
M,20000.0,310,380410.0,29,0.43,0
F,47402.0,621,169032.0,27,0.6165,1
F,50235.0,539,277597.0,16,0.4899,0
M,72667.0,359,10000.0,19,0.4665,0
F,60453.0,464,99171.0,39,0.607,1
F,31889.0,488,64551.0,28,0.5433,0
F,40300.0,786,179770.0,4,0.5503,0
F,63974.0,391,442196.0,24,0.4976,0
M,58419.0,588,246024.0,9,0.5005,0
F,48418.0,808,369561.0,18,0.618,1
M,50383.0,374,174556.0,0,0.424,0
F,73923.0,727,336487.0,33,0.5584,0
F,49646.0,684,407326.0,13,0.5299,0
F,58238.0,352,189063.0,24,0.4252,0
M,103399.0,474,146074.0,25,0.5508,0
F,31526.0,773,68219.0,20,0.6558,1
M,22963.0,660,169094.0,15,0.5453,0
F,75672.0,569,208190.0,9,0.5289,0
M,46427.0,706,403095.0,31,0.7654,1
F,53635.0,423,70503.0,19,0.4858,0
M,44377.0,675,205966.0,8,0.5363,0
M,54804.0,691,18569.0,33,0.6468,1
F,91971.0,481,157324.0,30,0.5507,0
M,76043.0,335,231140.0,18,0.459,0
F,77244.0,511,251258.0,30,0.4775,0
F,31675.0,433,258902.0,29,0.5266,0
F,36977.0,790,239740.0,23,0.6412,1
F,20000.0,737,258042.0,32,0.6118,1
F,43812.0,345,204574.0,17,0.257,0
F,79134.0,700,95213.0,20,0.6311,1
F,70339.0,787,14834.0,30,0.7232,1
F,55570.0,731,145331.0,38,0.6614,1
F,59554.0,727,186538.0,3,0.5469,0
F,46222.0,816,325393.0,25,0.6679,1
F,64095.0,761,189940.0,32,0.6235,1
M,75318.0,480,180343.0,32,0.6395,1
M,27682.0,444,238553.0,19,0.5712,0
F,65993.0,564,172999.0,7,0.5553,0
F,78649.0,705,281054.0,35,0.7323,1
F,51698.0,783,397933.0,7,0.587,0
F,74014.0,781,419079.0,30,0.6451,1
F,116293.0,536,209704.0,21,0.6073,1
F,57913.0,824,233689.0,18,0.6469,1
F,67866.0,638,357886.0,19,0.4451,0
F,45239.0,567,185004.0,22,0.4926,0
M,63625.0,565,267919.0,23,0.5641,0
F,69205.0,827,86484.0,23,0.628,1
M,63897.0,391,168916.0,35,0.5458,0
F,39606.0,547,315611.0,8,0.3473,0
F,64127.0,318,128180.0,39,0.4985,0
M,89244.0,689,187195.0,15,0.6921,1
F,68973.0,687,42579.0,26,0.5345,0
M,79240.0,394,400577.0,36,0.56,0
F,55260.0,729,326303.0,12,0.5483,0
F,74998.0,336,218810.0,1,0.3033,0
M,65585.0,692,250751.0,11,0.4877,0
F,40982.0,590,239590.0,32,0.5878,0
M,66370.0,602,338431.0,22,0.6896,1
F,40166.0,700,148120.0,13,0.6128,1
M,47342.0,643,273227.0,38,0.7347,1
M,63787.0,817,307742.0,29,0.6706,1
F,65945.0,676,321533.0,33,0.6301,1
F,36215.0,464,10000.0,8,0.3924,0
M,81080.0,312,140073.0,14,0.4482,0
F,71440.0,324,98083.0,23,0.4708,0
F,45905.0,422,214959.0,24,0.424,0
F,29248.0,428,10000.0,35,0.4096,0
M,57102.0,846,10000.0,31,0.8148,1
M,51081.0,608,417009.0,20,0.5604,0
M,62263.0,735,261769.0,38,0.8355,1
M,52738.0,481,212101.0,5,0.4707,0
M,20000.0,342,236367.0,24,0.3827,0
M,52233.0,703,214634.0,1,0.5553,0
M,53888.0,562,299735.0,30,0.6672,1
M,72673.0,369,136756.0,29,0.5476,0
M,46036.0,591,218661.0,14,0.5436,0
F,93573.0,513,222742.0,17,0.5397,0
M,21767.0,446,95314.0,31,0.4848,0
F,86223.0,324,327698.0,13,0.4055,0
F,55514.0,622,155432.0,17,0.5353,0
F,77192.0,408,301742.0,34,0.4739,0
M,61596.0,550,211491.0,21,0.5923,0
M,82791.0,781,363358.0,13,0.7262,1
M,52253.0,474,95862.0,37,0.6426,1
M,38028.0,646,91524.0,13,0.4728,0
F,88410.0,469,109430.0,33,0.5869,0
M,57730.0,301,213330.0,21,0.3993,0
M,64431.0,661,354147.0,15,0.6391,1
M,84695.0,595,359309.0,15,0.5404,0
M,39361.0,501,10000.0,15,0.5435,0
M,71910.0,588,224971.0,39,0.6451,1
F,48202.0,361,10000.0,37,0.4444,0
M,57357.0,801,279503.0,17,0.8278,1
F,61446.0,425,311817.0,22,0.4568,0
M,29996.0,348,195976.0,39,0.5492,0
F,44423.0,478,208398.0,17,0.4452,0
M,87021.0,792,207364.0,21,0.8148,1
M,77724.0,732,121556.0,39,0.8324,1
F,58747.0,601,243171.0,29,0.5467,0
F,64862.0,468,176859.0,17,0.3687,0
F,54115.0,568,293029.0,17,0.4365,0
M,87132.0,663,188637.0,0,0.5454,0
F,55993.0,399,113898.0,14,0.4169,0
M,64637.0,514,46414.0,4,0.5194,0
M,82921.0,396,13594.0,26,0.535,0
F,44453.0,847,331251.0,16,0.6532,1
F,91176.0,636,154221.0,31,0.5501,0
M,29391.0,658,233857.0,37,0.6519,1
M,92593.0,589,378323.0,25,0.6557,1
F,52546.0,695,143720.0,1,0.5151,0
F,55146.0,659,137252.0,27,0.5891,0
F,22200.0,646,186784.0,22,0.4983,0
M,50904.0,423,202943.0,19,0.5646,0
M,39204.0,837,388755.0,35,0.7072,1
M,47847.0,721,356582.0,21,0.7192,1
M,57254.0,635,262088.0,10,0.5906,0
M,79156.0,802,344941.0,27,0.7692,1
M,64152.0,356,182178.0,21,0.5708,0
F,66154.0,375,229916.0,16,0.3966,0
M,38090.0,765,169849.0,30,0.6643,1
M,42385.0,584,70963.0,10,0.5178,0
M,95975.0,685,320387.0,35,0.8157,1
F,45296.0,558,253170.0,13,0.4888,0
M,93124.0,776,201807.0,34,0.7891,1
M,55139.0,310,199753.0,22,0.4583,0
F,60046.0,559,49379.0,28,0.473,0
M,81407.0,692,102252.0,22,0.7572,1
M,85438.0,668,233615.0,35,0.7861,1
M,57784.0,483,147089.0,15,0.3873,0
M,52235.0,315,178229.0,38,0.4671,0
M,58882.0,805,189534.0,19,0.7692,1
F,66759.0,385,131753.0,24,0.4351,0
F,77826.0,309,103208.0,18,0.3867,0
F,60085.0,776,38764.0,25,0.7419,1
M,72378.0,463,185348.0,31,0.5563,0
M,92767.0,323,261861.0,20,0.3719,0
M,67626.0,611,35637.0,8,0.62,1
F,66233.0,537,197595.0,18,0.4834,0
M,29622.0,761,228114.0,20,0.6408,1
M,20000.0,761,101042.0,17,0.6029,1
F,67768.0,537,342214.0,5,0.4183,0
M,58104.0,321,161428.0,34,0.4528,0
F,49704.0,479,189874.0,13,0.4123,0
F,64871.0,798,183873.0,8,0.5589,0
F,58792.0,774,22923.0,34,0.782,1
M,82556.0,638,300875.0,1,0.6149,1
M,61722.0,830,104448.0,5,0.6835,1
M,45062.0,461,176348.0,34,0.5848,0
M,79803.0,360,259766.0,24,0.4165,0
M,55657.0,384,346090.0,8,0.4559,0
M,70531.0,846,92007.0,30,0.781,1
M,50452.0,789,155352.0,6,0.6873,1
F,47003.0,304,338242.0,27,0.4692,0
M,61683.0,375,246371.0,1,0.356,0
F,60257.0,552,267117.0,0,0.303,0
M,69597.0,306,94887.0,36,0.526,0
M,54627.0,772,162079.0,23,0.6432,1
M,23273.0,437,183216.0,34,0.482,0
F,51345.0,657,114211.0,6,0.4829,0
F,75876.0,462,32543.0,37,0.618,1
F,54052.0,617,148950.0,28,0.6065,1
F,55072.0,757,335429.0,0,0.6049,1
M,79728.0,552,205917.0,29,0.5996,0
F,45761.0,500,337429.0,31,0.5741,0
M,29144.0,831,217902.0,9,0.6663,1
M,56787.0,464,123529.0,33,0.6068,1
F,50317.0,531,327762.0,10,0.4934,0
F,40675.0,627,221233.0,36,0.6513,1
F,56492.0,537,296184.0,26,0.4498,0
F,69830.0,419,93167.0,9,0.3673,0
F,59814.0,549,303876.0,37,0.6464,1
F,66140.0,635,306889.0,21,0.6019,1
F,96268.0,583,228977.0,23,0.6543,1
F,53142.0,497,119308.0,7,0.4173,0
M,65567.0,715,195399.0,5,0.5674,0
F,49816.0,694,261129.0,3,0.4569,0
F,43073.0,450,223457.0,4,0.267,0
M,48302.0,564,260108.0,5,0.5056,0
F,50425.0,519,301225.0,31,0.4636,0
M,67190.0,515,135155.0,37,0.6388,1
M,106982.0,614,84492.0,19,0.6609,1
F,45679.0,515,196246.0,39,0.6222,1
M,51667.0,634,167026.0,35,0.7901,1
M,58738.0,658,278585.0,13,0.5708,0
M,67916.0,460,92550.0,18,0.5387,0
M,65271.0,810,302038.0,10,0.6743,1
F,85682.0,456,335361.0,38,0.542,0
M,20000.0,461,200030.0,0,0.4103,0
F,20000.0,341,206074.0,34,0.4206,0
M,50082.0,479,123245.0,18,0.5264,0
M,81946.0,602,145734.0,32,0.7319,1
M,28687.0,629,159166.0,31,0.6633,1
M,20000.0,728,344294.0,35,0.675,1
F,71424.0,649,192813.0,23,0.6564,1
F,64873.0,419,67783.0,6,0.3657,0
M,38196.0,374,225535.0,6,0.2971,0
M,40289.0,422,282629.0,4,0.4036,0
F,40605.0,481,197459.0,13,0.4766,0
M,62211.0,556,346921.0,25,0.562,0
M,47474.0,568,277751.0,0,0.3763,0
M,69881.0,792,95087.0,12,0.687,1
F,20000.0,479,144857.0,22,0.3694,0
F,42863.0,448,222623.0,19,0.3944,0
F,37479.0,817,33381.0,6,0.5715,0
M,54873.0,447,233636.0,5,0.2721,0
M,49239.0,308,23842.0,8,0.3222,0
F,75957.0,477,302343.0,27,0.5103,0
F,22813.0,694,290727.0,9,0.5799,0
F,60910.0,630,250478.0,34,0.6241,1
F,71167.0,355,132412.0,6,0.4522,0
M,97133.0,506,217020.0,24,0.6751,1
F,50365.0,404,148662.0,29,0.4806,0
M,66489.0,846,96918.0,25,0.7903,1
F,23923.0,654,166126.0,11,0.4918,0
M,20000.0,788,269827.0,12,0.6103,1
F,76895.0,802,204381.0,39,0.7081,1
F,59889.0,349,345071.0,3,0.3275,0
